EMD,popid,Area,Simulator
7.719944368660752e-05,0,0,NEST-NEST
5.084585621367298e-05,0,0,NEST-NEST
2.1347697229238717e-05,0,0,NEST-NEST
8.09890494035161e-05,0,0,NEST-NEST
8.032229174441446e-05,0,0,NEST-NEST
6.911911344884019e-05,0,0,NEST-NEST
5.8427138107047555e-05,0,0,NEST-NEST
7.495711382171958e-05,0,0,NEST-NEST
0.00021798108132730368,0,0,NEST-NEST
0.00011622286668542162,0,0,NEST-NEST
5.978437324345078e-05,0,0,NEST-NEST GPU
2.7636118774121585e-05,0,0,NEST-NEST GPU
2.0730501689267345e-05,0,0,NEST-NEST GPU
6.2674641213504e-05,0,0,NEST-NEST GPU
0.00010670028706551562,0,0,NEST-NEST GPU
0.0001496837364228292,0,0,NEST-NEST GPU
4.20201767272727e-05,0,0,NEST-NEST GPU
0.0001104138062126395,0,0,NEST-NEST GPU
0.00014926548652263697,0,0,NEST-NEST GPU
0.00010235971572054866,0,0,NEST-NEST GPU
0.00014454008216132236,1,0,NEST-NEST
0.00036017876488140393,1,0,NEST-NEST
0.00023373131870504257,1,0,NEST-NEST
0.0003383218998162259,1,0,NEST-NEST
0.0005598861727418322,1,0,NEST-NEST
0.0003623383873902225,1,0,NEST-NEST
0.0005700883154022842,1,0,NEST-NEST
0.00045333523785453145,1,0,NEST-NEST
0.00016448857397103285,1,0,NEST-NEST
0.00015425488553941875,1,0,NEST-NEST
0.00032021721518798606,1,0,NEST-NEST GPU
0.000237625668431252,1,0,NEST-NEST GPU
0.0004915959033154807,1,0,NEST-NEST GPU
0.00023275008191080062,1,0,NEST-NEST GPU
0.0001758129657315923,1,0,NEST-NEST GPU
0.0007130572621539178,1,0,NEST-NEST GPU
0.0005519121137238315,1,0,NEST-NEST GPU
0.0002922344625843189,1,0,NEST-NEST GPU
0.00038215362928925405,1,0,NEST-NEST GPU
0.0009036699471194516,1,0,NEST-NEST GPU
0.000535972390042787,2,0,NEST-NEST
0.00022771877318565812,2,0,NEST-NEST
0.00019156850540281626,2,0,NEST-NEST
0.0007336794132130656,2,0,NEST-NEST
0.0006618081653013969,2,0,NEST-NEST
0.0007052019676486775,2,0,NEST-NEST
0.00024574133128468627,2,0,NEST-NEST
0.000363631316959159,2,0,NEST-NEST
0.00025624883779541913,2,0,NEST-NEST
0.0005748470596554505,2,0,NEST-NEST
0.00020453056267889905,2,0,NEST-NEST GPU
0.0005575928372164715,2,0,NEST-NEST GPU
0.00028896697380534966,2,0,NEST-NEST GPU
0.00048188574778216983,2,0,NEST-NEST GPU
0.0001800992368082587,2,0,NEST-NEST GPU
0.00045827712611349035,2,0,NEST-NEST GPU
0.00022118068560219434,2,0,NEST-NEST GPU
0.0001569729891111205,2,0,NEST-NEST GPU
0.00026139439857404044,2,0,NEST-NEST GPU
0.000259879959979161,2,0,NEST-NEST GPU
0.0006281248342686584,3,0,NEST-NEST
0.0008526571212508627,3,0,NEST-NEST
0.0003225087546787621,3,0,NEST-NEST
0.00047619476871381666,3,0,NEST-NEST
0.00021306691363180718,3,0,NEST-NEST
0.0007900155588538218,3,0,NEST-NEST
0.00031573141785442866,3,0,NEST-NEST
0.0005088733752384367,3,0,NEST-NEST
0.00037097944478465855,3,0,NEST-NEST
0.0004863973755039959,3,0,NEST-NEST
0.0006135947797771904,3,0,NEST-NEST GPU
0.00022731266143710942,3,0,NEST-NEST GPU
0.0006532033538767888,3,0,NEST-NEST GPU
0.00038463392224239926,3,0,NEST-NEST GPU
0.00030633256094248916,3,0,NEST-NEST GPU
0.00038971395709396336,3,0,NEST-NEST GPU
0.00024166280028519328,3,0,NEST-NEST GPU
0.0004971669395828064,3,0,NEST-NEST GPU
0.0003153280139011339,3,0,NEST-NEST GPU
0.0001770412966041994,3,0,NEST-NEST GPU
0.00023257688668502926,4,0,NEST-NEST
0.00013201267184652512,4,0,NEST-NEST
0.00023170981797518452,4,0,NEST-NEST
0.00019772472920552109,4,0,NEST-NEST
0.00022716391055761545,4,0,NEST-NEST
0.0003186461327805872,4,0,NEST-NEST
0.000469073656330073,4,0,NEST-NEST
0.00027909141578374866,4,0,NEST-NEST
0.0002858216338025391,4,0,NEST-NEST
0.00022635783265947048,4,0,NEST-NEST
0.00017175475084027392,4,0,NEST-NEST GPU
0.0002711023666446067,4,0,NEST-NEST GPU
0.0004521198717336627,4,0,NEST-NEST GPU
0.0003140667125437112,4,0,NEST-NEST GPU
0.00014527234129130335,4,0,NEST-NEST GPU
0.00021548574433129727,4,0,NEST-NEST GPU
0.0002617439878656455,4,0,NEST-NEST GPU
0.00026626791784275383,4,0,NEST-NEST GPU
0.0001921819076607628,4,0,NEST-NEST GPU
0.0002783004589155391,4,0,NEST-NEST GPU
0.00034774272803369193,5,0,NEST-NEST
0.00036427390676061063,5,0,NEST-NEST
0.0006283376865436061,5,0,NEST-NEST
0.0005791897899446755,5,0,NEST-NEST
0.00023454267156859543,5,0,NEST-NEST
0.0003202450084022175,5,0,NEST-NEST
0.0008117158561621915,5,0,NEST-NEST
0.00032037624621582034,5,0,NEST-NEST
0.000654437156878302,5,0,NEST-NEST
0.0007084450591410573,5,0,NEST-NEST
0.0006626232487779517,5,0,NEST-NEST GPU
0.00037028988727735575,5,0,NEST-NEST GPU
0.00033778000534860056,5,0,NEST-NEST GPU
0.0004038563269092632,5,0,NEST-NEST GPU
0.0004548709442682759,5,0,NEST-NEST GPU
0.00028246764865636756,5,0,NEST-NEST GPU
0.00039639615143791985,5,0,NEST-NEST GPU
0.0006019377694717369,5,0,NEST-NEST GPU
0.0009168804336142715,5,0,NEST-NEST GPU
0.00021667715293875923,5,0,NEST-NEST GPU
0.0005215523518609674,6,0,NEST-NEST
0.00032669364913011367,6,0,NEST-NEST
0.0008036859435804118,6,0,NEST-NEST
0.0007092894035573609,6,0,NEST-NEST
0.0006021499275664942,6,0,NEST-NEST
0.00018965378345359212,6,0,NEST-NEST
0.00021896385077485998,6,0,NEST-NEST
0.00023236004129606556,6,0,NEST-NEST
0.00026602010512973695,6,0,NEST-NEST
0.0006885552180990785,6,0,NEST-NEST
